instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
SPY,LONG,10,2020-12-02T21:00:00+00:00,366.09295000000003,2022-03-02T21:00:00+00:00,427.88759999999996,617.9464999999993,7.9398055,1.0,false
SPY,LONG,2,2021-02-02T21:00:00+00:00,379.80715000000004,2022-03-02T21:00:00+00:00,427.88759999999996,96.16089999999986,1.6153895,1.0,false
SPY,LONG,16,2021-04-05T20:00:00+00:00,403.135325,2022-03-02T21:00:00+00:00,427.88759999999996,396.03639999999905,13.296366800000001,1.0,false
SPY,LONG,18,2021-07-02T20:00:00+00:00,432.0374,2022-03-02T21:00:00+00:00,427.88759999999996,-74.6964000000005,15.47865,1.0,false
SPY,LONG,2,2021-10-04T20:00:00+00:00,433.26045,2022-03-02T21:00:00+00:00,427.88759999999996,-10.745700000000056,1.7222960999999999,1.0,false
QQQ,LONG,1,2020-10-02T20:00:00+00:00,278.43435,2022-03-02T21:00:00+00:00,340.2672,61.83285000000001,0.8971359,1.0,false
QQQ,LONG,12,2020-12-02T21:00:00+00:00,304.2788,2022-03-02T21:00:00+00:00,340.2672,431.86080000000015,7.734551999999999,1.0,false
QQQ,LONG,24,2021-04-05T20:00:00+00:00,325.612,2022-03-02T21:00:00+00:00,340.2672,351.7247999999995,15.9811008,1.0,false
QQQ,LONG,2,2021-05-04T20:00:00+00:00,335.85755,2022-03-02T21:00:00+00:00,340.2672,8.819299999999998,1.3522495,1.0,false
QQQ,LONG,19,2021-07-02T20:00:00+00:00,356.08799999999997,2022-03-02T21:00:00+00:00,340.2672,-300.5951999999993,13.2307488,1.0,false
QQQ,LONG,4,2021-10-04T20:00:00+00:00,358.624325,2022-03-02T21:00:00+00:00,340.2672,-73.42849999999999,2.7955661000000003,1.0,false
USO,LONG,343,2022-01-04T21:00:00+00:00,55.15755,2022-04-04T20:00:00+00:00,74.08432499999999,6491.883824999997,44.329963125,1.0,false
SPY,LONG,110,2022-04-04T20:00:00+00:00,453.621225,2022-05-03T20:00:00+00:00,414.690675,-4282.360499999998,95.514309,1.0,false
GLD,LONG,278,2022-04-04T20:00:00+00:00,180.79085,2022-07-05T20:00:00+00:00,167.889225,-3586.6517499999986,96.93306085,1.0,false
GLD,LONG,158,2022-06-02T20:00:00+00:00,173.061575,2022-07-05T20:00:00+00:00,167.889225,-817.2312999999991,53.87022640000001,1.0,false
USO,LONG,117,2022-01-04T21:00:00+00:00,55.15755,2022-10-04T20:00:00+00:00,68.32875,1541.0303999999999,33.36693675000001,1.0,false
